Name,TCG,Amazon,Spread,% Spread
Ethereal Armor ,0.5,0.65,0.15,0.769230769
Vengevine,13.66,17.78,4.12,0.768278965
"Valakut, The Molten Pinnacle ",11.96,15.59,3.63,0.767158435
Nature's Will,9.81,12.8,2.99,0.76640625
Essence Warden,1.76,2.31,0.55,0.761904762
"Jace, the Mind Sculptor",87.5,114.99,27.49,0.760935734
The Royal Scions,10.15,13.34,3.19,0.760869565
"Tamiyo, The Moon Sage ",13.28,17.49,4.21,0.759291023
Kalonian Hydra ,10.99,14.48,3.49,0.758977901
Casualties of War,2.75,3.63,0.88,0.757575758
Dimir House Guard,0.75,0.99,0.24,0.757575758
Sweltering Suns,0.56,0.74,0.18,0.756756757
Assassin's Trophy ,15.08,19.96,4.88,0.755511022
Dream Chisel,2.99,3.96,0.97,0.755050505
"Ishkanah, Grafwidow ",1.54,2.04,0.5,0.754901961
Collective Brutality ,11.99,15.89,3.9,0.754562618
Shamanic Revelation,1.06,1.41,0.35,0.75177305
Chord of Calling,5.99,7.99,2,0.749687109
Archmage's Charm,1.49,1.99,0.5,0.748743719
Torment of Hailfire,6.83,9.13,2.3,0.748083242
Cryptic Command,17.94,23.99,6.05,0.747811588
Relic of Progenitus,2.21,2.96,0.75,0.746621622
Inspiring Statuary ,0.53,0.71,0.18,0.746478873
Wake The Dead ,4.5,6.03,1.53,0.746268657
Giver of Runes,3.79,5.08,1.29,0.746062992
Hinterland Harbor,4.72,6.33,1.61,0.745655608
Deploy The Gatewatch ,0.99,1.33,0.34,0.744360902
Sol Ring,3.87,5.2,1.33,0.744230769
Bring to Light ,0.55,0.74,0.19,0.743243243
Primeval Titan,8.99,12.1,3.11,0.742975207
"Nicol Bolas, God-Pharaoh",7.99,10.79,2.8,0.740500463
Windswept Heath ,10.5,14.19,3.69,0.739957717
Aether Vial,18.99,25.75,6.76,0.737475728
Champion of Wits,0.61,0.83,0.22,0.734939759
Sunbird's Invocation,1.42,1.94,0.52,0.731958763
Buried Ruin ,1.42,1.94,0.52,0.731958763
Vigor,4.69,6.42,1.73,0.730529595
Bloodspore Thrinax,2.79,3.82,1.03,0.730366492
Primeval Titan,7.97,10.96,2.99,0.727189781
Coalition Relic,4.98,6.85,1.87,0.727007299
Fiendslayer Paladin ,5.99,8.24,2.25,0.726941748
Merchant Scroll,3.95,5.46,1.51,0.723443223
Arclight Phoenix ,9.37,13.01,3.64,0.720215219
Foreboding Ruins ,3.5,4.88,1.38,0.717213115
Ensnaring Bridge,28.48,39.86,11.38,0.714500753
Moment's Peace,0.87,1.22,0.35,0.713114754
"Kaya, Ghost Assassin ",8.48,11.9,3.42,0.712605042
Flamewake Phoenix ,0.74,1.04,0.3,0.711538462
Distortion Strike,0.46,0.65,0.19,0.707692308
Guardian Idol,0.46,0.65,0.19,0.707692308
Fire Diamond ,2.84,4.03,1.19,0.70471464
"Azor, the Lawbringer",1.67,2.37,0.7,0.70464135
